label,clean_text,word_count,prop_count,noun_count,adj_count,verb_count,stop_count
7,stoke to unleash promising spin duo on india as england squad for 5 test out,15,3,4,1,1,5
7,more than man ganguly s bonafide remark on woman s cricket after wpl auction,14,1,6,1,1,4
7,rohit s chance to make up for wc gavaskar s big prediction for sa tour,15,4,3,1,1,5
7,watch crowd queue up outside shami s house after 2023 world cup heroic,13,3,5,0,2,2
7,hafeez slams australia for pakistan s warm up game pitch maybe it s tactical,14,5,2,2,1,3
7,rohit will be the top name in indian cricket history if pathan s goat claim,15,3,5,2,0,7
7,ambati rayudu s replacement miss what csk need to do at ipl 2024 auction,14,3,3,0,4,4
7,why ravi bishnoi could be india s trump card at next year s t20 world cup,16,2,6,2,0,5
7,watch flame out of nowhere terrifie curran draw laughter from ponte,11,1,3,1,3,4
7,india coach s rohit a bit bulky remark compare to kohli fittest in world,14,4,3,1,2,3
7,if you can do even a fraction of what yuvraj do for ind gavaskar on rinku,16,3,2,0,1,11
7,gambhir s blunt message to bcci amid hardik vs rohit vs sky for t20wc captain,15,2,4,1,1,2
7,gavaskar fume over 1st t20i wash out csa may not have as much money as bcci,16,2,4,1,2,8
7,it s not silly cricket kallis ideal rinku message to dravid for t20wc,13,1,2,3,2,4
7,gautam gambhir defend tall wc claim on babar azam captaincy hamper his,12,5,1,1,3,2
7,icc s stop clock trial to get underway during west indies england series,13,5,2,1,2,3
7,rishabh pant to play in ipl 2024 for delhi capital,10,2,2,1,1,3
7,young jaiswal take guard for south africa challenge,8,3,2,1,1,1
7,ipl t20 league likely to show the selection pathway for t20 world cup,13,0,6,3,1,4
7,woman s t20is india show promise despite england series loss,10,5,3,0,1,1
7,lyon put up passionate defence of warner after mitchell johnson saga,11,3,3,1,1,3
7,it s a specialist job australia batter travis head rule himself out as test opener,15,3,4,1,2,5
7,watch shastri s presence in bbl comm box make fellow commentator edgy,12,3,2,2,3,1
7,hayden snub prime dhoni for wc winner reveal most entertaining sledger,11,4,2,1,2,2
7,hafeez criticize practice match condition in canberra ahead of australia test series,12,4,4,0,1,2
7,icc u19 wc india to open campaign against bangladesh on january 20,12,3,3,0,2,3
8,cbse date sheet 2024 live where to check class 10 12 time table when out,15,0,6,0,1,4
8,2773 candidate qualify in bpsc tre 1 0 supplementary result,10,3,2,1,1,1
8,cbse date sheet 2024 live where to check class 10 12 time table when out,15,0,6,0,1,4
8,tamil nadu half yearly exam 2023 postpone to begin on december 13,12,2,2,2,2,2
8,nta military nursing service exam registration begin on exam nta ac in,12,3,5,1,1,2
8,upsc cse 2023 daf ii release direct link here,9,4,1,1,1,1
8,the empowering role of art education in foster creativity and well be,12,0,4,1,1,6
8,big datum in education personalise learning and student success,9,0,5,1,1,2
8,rbi assistant prelim result 2023 live where to check score when announce,12,1,2,1,4,3
8,clat result 2024 grievance filing window open today on consortiumofnlus ac in,12,3,4,0,2,2
8,dpsdae recruitment 2023 apply for 62 jpa jsk post at dpsdae formflix in,13,3,4,0,1,3
8,rrc northern railway recruitment 2023 apply for 3000 apprentice post,10,1,4,1,1,1
8,aiims ini cet 2023 seat allotment result out for round 1 direct link here,14,3,3,2,1,3
8,ielt one skill retake approve by immigration new zealand for migration,11,2,4,0,2,3
8,education ministry revamps jee apex board,6,6,0,0,0,0
8,time management tip for student pomodoro technique to the rescue,10,0,6,1,0,3
8,study abroad guide to choose the right study abroad destination,10,0,3,1,2,2
8,apply for msc apply psychology economic behaviour at university of bath,11,1,4,1,2,3
8,manav rachna create a global hub of knowledge innovation research and entrepreneurship,12,2,4,1,2,3
8,neet jee result 2023 student of aakash deliver top rank,10,1,3,2,2,2
6,career horoscope today for dec 12 2023 astro tip which will help you lead,14,1,5,0,2,4
6,horoscope today astrological prediction for december 12 2023,8,1,3,1,0,1
6,pisce daily horoscope today december 12 2023 predict financial development,10,1,3,2,2,0
6,aquarius daily horoscope today december 12 2023 predict self improvement,10,1,5,1,1,0
6,capricorn daily horoscope today dec 12 2023 predict unexpected connection,10,2,3,2,1,0
6,sagittarius daily horoscope today december 12 2023 predict new experience,10,3,3,1,1,0
6,scorpio daily horoscope today december 12 2023 predict an innovative solution,11,2,3,2,1,1
6,libra daily horoscope today december 12 2023 predict positive change,10,1,3,2,2,0
6,virgo daily horoscope today december 12 2023 predict love moment,10,3,4,0,1,0
6,leo daily horoscope today december 12 2023 predict success on the horizon,12,2,4,1,1,2
6,cancer daily horoscope today december 12 2023 predict heartfelt communication,10,3,3,1,1,0
6,gemini daily horoscope today december 12 2023 predict navigate challenge,10,2,4,1,1,0
6,taurus daily horoscope today dec 12 2023 predict major life transformation,11,1,4,2,1,0
6,arie daily horoscope today dec 12 2023 predict benefit in professional life,12,1,5,2,1,1
6,weekly love horoscope for december 11 17 2023,8,1,2,1,0,1
6,weekly numerology prediction from 11th to 17th december 2023,9,1,3,2,0,2
6,weekly career horoscope for december 11 17 2023,8,1,2,1,0,1
6,horoscope today astrological prediction for december 11 2023,8,1,3,1,0,1
6,pisce daily horoscope today december 11 2023 predict a new goal,11,1,3,2,2,1
6,aquarius daily horoscope today dec 11 2023 predict clarity in life,11,1,5,1,1,1
6,capricorn daily horoscope today december 11 2023 predict monetary stability,10,2,3,2,1,0
6,sagittarius daily horoscope today dec 11 2023 advice embrace challenge,10,3,4,0,1,0
6,scorpio daily horoscope today december 11 2023 predict strong connection,10,2,3,2,1,0
6,libra daily horoscope today december 11 2023 advice money management,10,1,5,1,1,0
6,virgo daily horoscope today december 11 2023 predict you ll be focus,12,3,3,0,1,2
4,article 370 verdict hush disappointment sweep through kashmir,8,1,3,0,2,1
4,rajasthan cm may be name today as bjp plan legislative party meet,12,3,4,1,1,3
4,break down the supreme court judgement on j k and its wide implication,13,4,2,1,1,5
4,mea should put up strong case with we against pannun congress mp bittu,13,4,1,1,2,6
4,mp swear in ceremony to be hold on dec 13 cm designate mohan yadav,14,1,3,2,2,4
4,675 town under 1 lakh population to get gis base master plan,12,0,6,0,2,3
4,I can t explain to they shah slam cong on sc s article 370 verdict,15,1,4,0,2,5
4,vishnu deo sai to take oath as chhattisgarh cm on wednesday pm to be present,15,2,6,1,1,6
4,4th draft text on global stocktake delete reference to phase out fossil fuel,13,0,7,2,1,3
4,vishnu deo sai to take oath as chhattisgarh cm on december 13,12,2,5,0,1,4
4,in congress s mohan yadav reaction election win credit to shivraj singh chouhan,13,3,5,1,1,2
4,delight to see end of article 370 armed force veteran hail sc verdict,13,0,6,1,3,3
4,mahua moitra approach supreme court against expulsion from lok sabha,10,6,2,0,0,2
4,australia s new migration rule unlikely to impact indian student professional,11,1,4,3,1,1
4,india to lead nine member global river city alliance,9,3,3,0,1,2
4,narendra singh tomar name new mp assembly speaker 5 thing to know about he,14,3,4,1,2,3
4,fbi director christopher wray begin 3 day india visit meet cbi chief,12,5,4,0,2,0
4,jnu issue rule for conduct on campus,7,1,3,0,1,2
4,evening brief shivraj on mohan yadav elevation,7,0,4,1,1,1
4,disagree congress differ with sc say article 370 deserve to be honour,12,2,1,0,5,3
4,four ksu activist hold for hurl shoe at kerala cm s special bus,13,4,3,1,2,3
4,official from india taiwan us discuss cybersecurity at new delhi meet,11,5,2,0,2,3
4,here s what outgoing mp cm shivraj singh chouhan say on mohan yadav s elevation,15,5,2,1,3,3
4,bhagwan mahakal ka ashirwad hai mp cm elect mohan yadav s family,12,10,1,0,0,0
4,ar reddy ysr congress mla who file case against chandrababu naidu resign,12,5,3,1,1,2
4,who be mohan yadav madhya pradesh s chief minister elect,10,1,4,2,0,2
4,mohan yadav to be new mp cm jagdish devda rajendra shuka name deputy cms,14,7,2,2,1,2
4,in lok sabha v muraleedharan correct mea answer on palestinian group hamas,12,5,4,1,0,2
1,firefighter search for those trap after corner of nyc building collapse,11,1,5,0,1,4
1,israel must comply with law of war under we weapon assistance policy,12,1,5,0,1,5
1,trump hold wide lead in republican 2024 nominating contest opinion poll,11,1,6,1,1,1
1,we climate envoy say cop28 last chance to keep 1 5c target alive,13,1,4,2,2,4
1,anti be coalition force target in iraq and syria us official,11,4,3,0,1,4
1,russian deputy pm novak to visit china this week,9,2,2,1,2,2
1,donald tusk appoint polish pm set stage for warm eu tie,11,3,3,2,2,1
1,eu seek to raise 15 billion euro for ukraine from russia s frozen asset,14,3,2,1,2,3
1,uk pm sunak face revolt in parliament over rwanda plan after grill on covid,14,4,4,0,2,4
1,white house warn of democracy threat after trump repeats dictator remark,11,4,4,0,1,2
1,volodymyr zelensky say we delay in ukraine aid fulfil putin s dream,12,6,3,0,1,2
1,amid resignation call harvard s claudine gay find support from facul,11,3,4,0,2,1
1,sikh couple in canada likely kill over mistaken identity,9,2,2,1,1,2
1,special counsel seek us supreme court review on trump s presidential immunity,12,4,3,2,1,2
1,france to stop fund big muslim high school amid fear of wide crackdown,13,1,3,4,2,2
1,certainly concern we on report of israel use white phosphoru in lebanon,12,2,2,1,2,5
1,hungary s ukraine stance leave eu states fume be orban against europe,12,4,1,2,2,2
1,hostage drug psychologically abuse in gaza say israeli doctor,9,1,2,1,3,1
